Name,Pos,Pts,G,Min,R,A,A%,S,BS,S%,PF,TO%,UR%,Ts,FG%,EFG%,2P%,TS%,OR%,DR%,TR%,3P%,FT%,PER
DeMar DeRozan,SF,36.84,18.0,879.0,106.5,113.6,31.4,25.6,11.4,2.8,62.5,12.9,41.3,54.0,74.4,76.5,77.0,87.5,2.5,17.8,13.7,49.0,79.37,38.8
Zach LaVine,SG,29.21,14.0,662.0,80.9,82.4,27.7,22.7,2.0,3.3,51.1,14.3,39.3,42.6,58.2,70.4,63.9,76.1,4.3,16.7,13.9,51.8,85.76,26.8
Nikola Vucevic,C,22.24,18.0,801.0,291.1,80.9,21.7,10.1,21.3,0.8,55.4,19.5,30.8,55.4,67.9,77.2,75.4,81.9,12.3,46.3,29.0,54.0,82.17,30.0
Ayo Dosunmu,PG,15.62,17.0,717.0,83.8,71.0,20.1,18.5,12.8,2.5,63.9,22.7,22.7,42.6,72.4,81.8,88.0,84.6,3.1,16.7,13.2,48.1,75.82,19.0
Patrick Williams,PF,13.81,18.0,652.0,99.4,22.7,9.9,19.9,25.6,2.9,48.3,22.9,23.1,39.8,68.3,79.9,73.7,85.3,9.2,18.0,12.2,60.5,76.8,19.9
Goran Dragic,PG,12.36,17.0,446.0,42.6,86.6,41.0,10.1,6.0,1.5,32.7,20.6,30.9,32.7,63.0,75.5,63.5,77.8,5.7,11.4,10.8,62.5,94.7,23.6
Coby White,SG,11.36,10.0,278.0,25.6,27.0,19.4,12.8,4.0,4.5,22.7,14.4,27.7,12.8,53.7,69.0,71.0,71.4,1.1,14.0,10.4,44.3,98.3,17.9
Andre Drummond,C,10.77,12.0,274.0,151.9,14.2,11.2,14.1,10.1,3.5,39.8,26.6,30.5,25.6,78.2,78.2,80.5,82.8,29.2,59.5,44.1,0.0,98.62,33.4
Javonte Green,PF,8.99,18.0,436.0,80.9,22.7,10.4,28.4,18.5,6.3,48.3,14.5,19.6,14.2,80.1,89.2,92.9,92.0,10.7,19.0,14.8,54.7,98.8,27.4
Alex Caruso,SG,7.18,18.0,652.0,72.4,95.1,26.3,39.8,19.9,5.9,58.2,34.9,15.2,39.8,55.4,70.1,62.2,75.1,4.4,14.8,12.6,50.6,93.9,16.4
Derrick Jones Jr.,SF,6.53,15.0,270.0,48.3,11.4,11.4,10.1,14.2,2.5,25.6,9.2,21.2,6.0,57.9,63.8,69.0,78.4,11.6,17.1,14.3,30.4,83.96,23.6
Tony Bradley,C,2.02,5.0,16.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,71.0,70.42,0.0,84.53,13.4,69.1,40.8,71.0,70.42,36.8
Dalen Terry,SF,1.58,9.0,41.0,4.0,10.1,32.2,2.0,4.0,3.3,4.0,36.0,32.9,8.1,42.6,56.8,40.6,59.2,0.0,11.0,7.7,47.3,93.9,11.6
Malcolm Hill,SF,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.83,70.4,0.0,0.0,18.4
Marko Simonovic,C,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.1
Chicago Bulls,,11.9,12.87,408.53,73.43,42.51,17.51,14.27,9.99,2.65,34.17,16.57,25.71,24.91,56.21,63.92,57.18,69.11,7.17,26.75,20.53,41.61,75.5,20.77
